"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"Hadar","HR 5267","68702","β Cen","Cen","From some ind-A name hadari (an untranslated proper name), for one of a pair of stars, the other one being al-wazn. Sci-A authors ventured to identify these stars as α/β Cen or α/β Col, but exactly what two stars were originally intended, and the significance of their names, is unknown. ""Hadar"" was arbitrarily applied to β Cen in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cen","21/08/2016"
"Haedus","HR 1641","23767","η Aur","Aur","The Almagest star catalogue gives for n Aur: τῶν ἑπι τοῦ ἀριστεροῦ καρπού β καλοvμένων Ἐρίϕωv ὁ ἑπόμενος (The rearmost of the two stars on the left wrist, which are called 'Haedi'). The Latin term ""Haedi"" is a translation of Greek Ἐρίϕωv and plural of ""Haedus"" meaning ""young goat(s)"".","Latin","Almagest (e.g. translated by Toomer 1984, page 353, edition by Heiberg II, 66)","","30/06/2017"
"Hamal","HR 617","9884","α Ari","Ari","Applied in recent times from the Arabic constellation name, al-hamal, ""the Lamb"", for Aries. al-hamal seems to belong to those zodiacal constellation names already known in Arabic times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Hassaleh","HR 1577","23015","ι Aur","Aur","hasa means in Arabic - handsome or good or benefactor, hassa (with doubled s) is from the same Arabic root, has long vowel (second a) and its meaning is ""doer of good"" or ""benefactor"", the end of name ""-eh"" (or ""-ah"") could mean femininum. Name from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965).","Arabic","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","30/06/2017"
"Hatysa","HR 1899","26241","ι Ori","Ori","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965).","unknown","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","05/09/2017"
"Helvetios","HR 8729","113357","51 Peg","Peg","Helvetios is the Latin for ""the Helvetian"" and refers to the Celtic tribe that lived in Switzerland during the Middle Ages.","Latin","2015 NameExoWorlds","","15/12/2015"
"Heze","HR 5107","66249","ζ Vir","Vir","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965). It could refer to the god. It is possible derived from Ezechiel (one of four prophets from Old Testament). Transcription to Greek language adds ""H"" to EZE.","Greco-Hebrew","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","01/06/2018"
"Hoggar","HD 28678","21109","","Tau","Hoggar is the name of the main mountain range in the Sahara Desert in southern Algeria.","Arabic","2019 IAU100 NameExoWorlds","","17/12/2019"
"Homam","HR 8634","112029","ζ Peg","Peg","Applied in recent times from an abbreviation of the ind-A name sa'd al-humam, for ζ and ξ Peg. A possible meaning for the name is ""the Lucky (Stars) of the Hero,"" but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Peg","21/08/2016"
"Horna","HAT-P-38","0","","Tri","Horna is hell or the underworld from Finnic mythology.","Finnish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Hunahpú","HD 98219","55174","","Crt","Hunahpú was one of the twin gods who became the Sun in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.","Kʼicheʼ language","2019 IAU100 NameExoWorlds","","17/12/2019"
"Hunor","HAT-P-2","0","","Her","Hunor was a legendary ancestor of the Huns and the Hungarian nation, and brother of Magor.","Hungarian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Iklil","HR 5928","78104","ρ Sco","Sco","","--","--","","05/09/2017"
"Illyrian","HD 82886","47087","","LMi","Historians largely believe that the Albanians are descendants of the Illyrians, a term Albanians proudly call themselves.","English","2019 IAU100 NameExoWorlds","","17/12/2019"
"Imai","HR 4656","59747","δ Cru","Cru","The Mursi name a line of four stars imai (δ Cru), thaadoi (β Cru), waar (β Cen) and sholbi (α Cen). Their successive disappearance (heliacal setting) are used to determine when the River Omo will flood (it does this several times) and hence to determine when to plant the annual crop of cowpeas beside it (after the last flood but before the ground dries out). Imai is the Mursi name for the grass that grows along the banks of the river (Rhynchelytrum repens). It is said that when the imai star disappears, the Omo rises high enough to flatten the imai grass.","African/Mursi","Turton and Ruggles (1978), ""Agreeing to Disagree: the measurement of duration in a south-western Ethiopian community"", Current Anthropology, 19 (1978), 585-600.","","10/08/2018"
"Inquill","HD 156411","84787","","Ara","Inquill was one half of the couple involved in the tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.","--","2019 IAU100 NameExoWorlds","","17/12/2019"
"Intan","HD 20868","15578","","For","Intan means diamond in the Malay language (Bahasa Melayu), alluding to the shining of a star.","Bahasa Melyu","2019 IAU100 NameExoWorlds","","17/12/2019"
"Intercrus","HR 3743","46471","","UMa","Intercrus means ""between the legs"" in Latin style, referring to the star's position in the constellation Ursa Major.","Latin","2015 NameExoWorlds","","15/12/2015"
"Irena","WASP-38","0","","Her","Irena is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Irena is a woman of the court.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Itonda","HD 208487","108375","","Gru","Itonda, in the Myene tongue, corresponds to all that is beautiful.","Myene","2019 IAU100 NameExoWorlds","","17/12/2019"
"Izar","HR 5506","72105","ε Boo","Boo","Applied in recent times from the Arabic word izwar, ""girdle"" or ""loin cloth"", being a later version of the original term al-mi)zar used in the Arabic Almagest in describing this star.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Jabbah","HR 6027","79374","ν Sco","Sco","","Arabic","--","","30/06/2017"
"Jishui","HR 2930","37265","ο Gem","Gem","traditional Chinese single star asterism: translations of the term are ""Bilgewater"", ""a store of water to make wine"", or ""accumulated water (held in by dikes for future use)"". It refers to a faint star in Gemini or Perseus that is idenfied differently by modern authors. Sun and Kistemaker (1997) from Han sources and Sun Shuwei (Stellarium) from a medieval source both suggest o Gem while Xu et al. (2000) identify lambda Persei.","Chinese","Shi shi xingjing (Star Catalogue of the Shi Shi)","","17/12/2019"
"Kaewkosin","GJ 3470","","","Cnc","Kaewkosin (แก้วโกสินทร์) refers to the crystals of the Hindu deity Indra in the Thai language, alluding to the ancient belief that the stars were gemstones.","Thai","NEWC Thailand: Terms associated with precious stones in the Thai language.","","01/08/2023"
"Kaffaljidhma","HR 804","12706","γ Cet","Cet","","--","--","","01/02/2017"
"Kalausi","HD 83443","47202","","Vel","The word Kalausi means a very strong whirling column of wind in the Dholuo language of Kenya.","Dholuo","2019 IAU100 NameExoWorlds","","17/12/2019"
"Kamuy","HD 145457","79219","","CrB","Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.","Ainu","2019 IAU100 NameExoWorlds","","17/12/2019"
"Kang","HR 5315","69427","κ Vir","Vir","determinitive star of lunar mansion Kang (The Neck) whose naming constellation constists of 4 stars according to sources back to the 3rd millennium BCE","Chinese","Lunar Mansion","","30/06/2017"
"Karaka","HD 137388","76351","","Aps","Karaka is the word in the Māori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.","Māori","2019 IAU100 NameExoWorlds","","17/12/2019"
"Kaus Australis","HR 6879","90185","ε Sgr","Sgr","Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for λ Sgr), from the ind-A (and later sci-A) constellation name al-qaus, ""the Bow."" For the ind-Arabs, al-qaus was marked by the curved line of stars ξ2, o, π, d, ρ and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The sci-Arabs used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sgr","20/07/2016"
"Kaus Borealis","HR 6913","90496","λ Sgr","Sgr","Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for λ Sgr), from the ind-A (and later sci-A) constellation name al-qaus, ""the Bow."" For the ind-Arabs, al-qaus was marked by the curved line of stars ξ2, o, π, d, ρ and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The sci-Arabs used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sgr","20/07/2016"
"Kaus Media","HR 6859","89931","δ Sgr","Sgr","Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for λ Sgr), from the ind-A (and later sci-A) constellation name al-qaus, ""the Bow."" For the ind-Arabs, al-qaus was marked by the curved line of stars ξ2, o, π, d, ρ and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The sci-Arabs used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sgr","20/07/2016"
"Kaveh","HD 175541","92895","","Ser","Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.","Persian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Keid","HR 1325","19849","ο2 Eri","Eri","Applied in recent times from the ind-A name al-qaid, ""the Egg Shells,"" for unspecified stars around the ind-A ostrich's nest.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Eri","12/09/2016"
"Khambalia","HR 5359","69974","λ Vir","Vir","","--","--","","05/09/2017"
"Kitalpha","HR 8131","104987","α Equ","Equ","Applied in recent times from the sci-A constellation name qit'at al-faras, ""the Section of the Horse,"" for Equuleus. Ptolemy had Ἵππου Προτομή, ""the First Half of the Horse,"" for the constellation, because it shows only half the figure (as with the constellations Taurus, Pegasus, and the Greek ship Argo).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Equ","21/08/2016"
"Kochab","HR 5563","72607","β UMi","UMi","Applied to β UMi in Renaissance times and of uncertam derivation. It is probably from one of the names Alrucaba, Rucaba, etc., that were first applied to θ UMa, then to α UMi, in medieval times. However, the name may also be from the Arabic word kaukab, or the Hebrew word kokhabh, both meaning ""star.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","UMi","20/07/2016"
"Koeia","HIP 12961","12961","","Eri","Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.","Taíno","2019 IAU100 NameExoWorlds","","17/12/2019"
"Koit","XO-4","0","","Lyn","Koit is Estonian for the time when the Sun rises in the morning (dawn).","Estonian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Komondor","HAT-P-12","","","CVn","The Komondor is a large white Hungarian breed of livestock guardian dog.","Hungarian","NEWC Hungary: Hungarian dog breeds and Hungarian words associated with dogs.","","01/08/2023"
"Kornephoros","HR 6148","80816","β Her","Her","From the Greek word κορυνηφόρος, ""club-bearer"", mentioned in one Renaissance study as a name for the constellation Hercules. Properly it is of mythological rather than astronomical significance, for Ptolemy's constellation here was ""the Kneeler"", described without a club. ""Kornephoros"" was applied as a star name in recent times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Kosjenka","WASP-63","","","Col","Kosjenka is the protagonist of the Croatian fairy tale Regoč.","Croatian","NEWC Croatia: Characters from the Croatian fairy tale Regoč by Croatian children’s writer Ivana Brlić-Mažuranić (1874-1938).","","01/08/2023"
"Kraz","HR 4786","61359","β Crv","Crv","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965).","unknown","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","01/06/2018"
